Destinasi,Skor Total
Singapura,0.8878365967779439
Malaysia,0.6336010136696913
Vietnam,0.5426576128431425
Thailand,0.5052240749046653
Indonesia,0.34189312111101333
Filipina,0.3007037059701305
Kamboja,0.14096721834572531
