Destinasi,Skor Total
Singapura,0.7742762077493808
Malaysia,0.6342406580558066
Thailand,0.5822924703524455
Vietnam,0.5550635023093383
Indonesia,0.42824732554345923
Filipina,0.31014265935517593
Kamboja,0.131889230973634
