Destinasi,Skor Total
Singapura,0.8265306122448979
Malaysia,0.5955782312925171
Vietnam,0.5370748299319728
Thailand,0.5244897959183673
Indonesia,0.39673469387755095
Filipina,0.3108843537414966
Kamboja,0.1486394557823129
