Destinasi,Skor Total
Singapura,0.8559723333228174
Malaysia,0.6028612297680535
Thailand,0.5322480946661039
Vietnam,0.5308591000909836
Indonesia,0.393345832166721
Filipina,0.3147664369416895
Kamboja,0.15917733040869697
