Destinasi,Skor Total
Singapura,0.7959183673469388
Malaysia,0.6098639455782313
Thailand,0.557142857142857
Vietnam,0.5452380952380952
Indonesia,0.40489795918367344
Filipina,0.31700680272108844
Kamboja,0.1486394557823129
